start_station_name,count,month,station_name,lat,lng
Communipaw & Berry Lane,224,01,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Communipaw & Berry Lane,221,2,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Heights Elevator,219,2,Heights Elevator,40.74853453117808,-74.04047484994652
Heights Elevator,215,12,Heights Elevator,40.74853453117808,-74.04047484994652
Dey St,208,01,Dey St,40.737673526096245,-74.06690925813731
Bergen Ave & Stegman St,206,07,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Union St,206,07,Union St,40.718246810179615,-74.08269194275404
Jackson Square,206,08,Jackson Square,40.71128515883156,-74.07864229804078
York St & Marin Blvd,205,12,York St & Marin Blvd,40.71663153911145,-74.04237672871551
5 Corners Library,202,2,5 Corners Library,40.73488147223507,-74.05951305622865
Union St,195,08,Union St,40.718246810179615,-74.08269194275404
Dey St,192,12,Dey St,40.737673526096245,-74.06690925813731
Jackson Square,188,07,Jackson Square,40.71128515883156,-74.07864229804078
Lincoln Park,182,01,Lincoln Park,40.72465254456894,-74.07829802469283
Lincoln Park,179,12,Lincoln Park,40.72465254456894,-74.07829802469283
Lincoln Park,179,2,Lincoln Park,40.72465254456894,-74.07829802469283
Dey St,170,2,Dey St,40.737673526096245,-74.06690925813731
Union St,169,06,Union St,40.718246810179615,-74.08269194275404
Bergen Ave & Stegman St,166,08,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
5 Corners Library,165,12,5 Corners Library,40.73488147223507,-74.05951305622865
Jackson Square,157,06,Jackson Square,40.71128515883156,-74.07864229804078
2 St & Park Ave,147,2,2 St & Park Ave,40.739109011085155,-74.03307036559706
York St & Marin Blvd,147,2,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Union St,126,01,Union St,40.718246810179615,-74.08269194275404
Bergen Ave & Stegman St,126,06,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Union St,123,12,Union St,40.718246810179615,-74.08269194275404
York St & Marin Blvd,107,01,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Grant Ave & MLK Dr,100,07,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Jackson Square,91,12,Jackson Square,40.71128515883156,-74.07864229804078
Union St,82,2,Union St,40.718246810179615,-74.08269194275404
Jackson Square,81,01,Jackson Square,40.71128515883156,-74.07864229804078
Grant Ave & MLK Dr,74,08,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Jackson Square,69,2,Jackson Square,40.71128515883156,-74.07864229804078
Bergen Ave & Stegman St,64,12,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Grant Ave & MLK Dr,61,01,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
nan,55,06,nan,40.73,-74.07000000000001
Bergen Ave & Stegman St,52,01,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Grant Ave & MLK Dr,52,06,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Grant Ave & MLK Dr,37,12,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Grant Ave & MLK Dr,37,2,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Bergen Ave & Stegman St,31,2,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
nan,7,07,nan,40.73,-74.07000000000001
nan,4,12,nan,40.73,-74.07000000000001
W 41 St & 8 Ave,2,12,W 41 St & 8 Ave,40.7574643,-74.03643093333334
8 Ave & W 33 St,1,07,8 Ave & W 33 St,40.76159938333333,-74.03773895
W 51 St & Rockefeller Plaza,1,07,W 51 St & Rockefeller Plaza,40.73700185,-74.03042316666667
Christopher St & Greenwich St,1,07,Christopher St & Greenwich St,40.7310711,-74.06444608333334
Warren St & W Broadway,1,07,Warren St & W Broadway,40.7310711,-74.06444608333334
