end_station_name,count,month,station_name,lat,lng
Hilltop,499,06,Hilltop,40.73112283846063,-74.05748458083639
Lincoln Park,498,06,Lincoln Park,40.72465254456894,-74.07829802469283
Heights Elevator,494,07,Heights Elevator,40.74853453117808,-74.04047484994652
Journal Square,493,12,Journal Square,40.73370147975818,-74.06248309622188
Paulus Hook,487,2,Paulus Hook,40.71421012369458,-74.03361277592583
Leonard Gordon Park,483,08,Leonard Gordon Park,40.74581314610354,-74.05712344428738
McGinley Square,482,12,McGinley Square,40.72544559418715,-74.06739699277406
Baldwin at Montgomery,477,01,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
York St & Marin Blvd,471,06,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Journal Square,470,2,Journal Square,40.73370147975818,-74.06248309622188
Oakland Ave,465,06,Oakland Ave,40.73742057858394,-74.05223238649396
Bergen Ave,465,06,Bergen Ave,40.722113886382836,-74.07141210344984
JC Medical Center,461,2,JC Medical Center,40.71541364792877,-74.0496628961732
Montgomery St,455,01,Montgomery St,40.719435761104926,-74.05097653528063
Monmouth and 6th,454,01,Monmouth and 6th,40.725650437594304,-74.04880466149685
Adams St & 11 St,454,01,Adams St & 11 St,40.75062522280299,-74.03365670010464
Columbus Park - Clinton St & 9 St,453,01,Columbus Park - Clinton St & 9 St,40.748128528161715,-74.03245559550571
Morris Canal,450,2,Morris Canal,40.71241248110083,-74.0384548962102
Baldwin at Montgomery,448,12,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
Communipaw & Berry Lane,445,06,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Lafayette Park,443,2,Lafayette Park,40.71356366414796,-74.06269593775293
Brunswick St,440,2,Brunswick St,40.72415242279286,-74.0506048307782
Fairmount Ave,434,06,Fairmount Ave,40.725731334817524,-74.07171705154973
York St & Marin Blvd,432,08,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Baldwin at Montgomery,432,2,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
Mama Johnson Field - 4 St & Jackson St,432,12,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Heights Elevator,432,08,Heights Elevator,40.74853453117808,-74.04047484994652
Leonard Gordon Park,431,06,Leonard Gordon Park,40.74581314610354,-74.05712344428738
York St & Marin Blvd,429,07,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Bergen Ave,422,01,Bergen Ave,40.722113886382836,-74.07141210344984
Astor Place,420,08,Astor Place,40.71929424516937,-74.07113886669298
Heights Elevator,420,06,Heights Elevator,40.74853453117808,-74.04047484994652
Dixon Mills,419,12,Dixon Mills,40.72163707324207,-74.0499976669622
Astor Place,414,07,Astor Place,40.71929424516937,-74.07113886669298
Bergen Ave,413,12,Bergen Ave,40.722113886382836,-74.07141210344984
Dixon Mills,407,01,Dixon Mills,40.72163707324207,-74.0499976669622
Christ Hospital,405,06,Christ Hospital,40.73473786881123,-74.05036350477837
Bergen Ave,405,2,Bergen Ave,40.722113886382836,-74.07141210344984
Montgomery St,400,12,Montgomery St,40.719435761104926,-74.05097653528063
Monmouth and 6th,397,2,Monmouth and 6th,40.725650437594304,-74.04880466149685
Jersey & 6th St,396,2,Jersey & 6th St,40.72529429161702,-74.04552473075975
Jersey & 6th St,395,12,Jersey & 6th St,40.72529429161702,-74.04552473075975
nan,392,07,nan,40.73,-74.07000000000001
Dixon Mills,390,2,Dixon Mills,40.72163707324207,-74.0499976669622
14 St Ferry - 14 St & Shipyard Ln,388,07,14 St Ferry - 14 St & Shipyard Ln,40.75265636635399,-74.02432327947906
Jersey & 6th St,379,01,Jersey & 6th St,40.72529429161702,-74.04552473075975
Pershing Field,373,12,Pershing Field,40.742582469861766,-74.05176521119354
Riverview Park,370,12,Riverview Park,40.744333133203085,-74.04389795081839
nan,361,06,nan,40.73,-74.07000000000001
Fairmount Ave,360,01,Fairmount Ave,40.725731334817524,-74.07171705154973
Monmouth and 6th,360,12,Monmouth and 6th,40.725650437594304,-74.04880466149685
Paulus Hook,358,12,Paulus Hook,40.71421012369458,-74.03361277592583
Mama Johnson Field - 4 St & Jackson St,358,01,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Pershing Field,357,01,Pershing Field,40.742582469861766,-74.05176521119354
Fairmount Ave,352,12,Fairmount Ave,40.725731334817524,-74.07171705154973
Adams St & 11 St,352,2,Adams St & 11 St,40.75062522280299,-74.03365670010464
Dey St,347,08,Dey St,40.737673526096245,-74.06690925813731
Montgomery St,346,2,Montgomery St,40.719435761104926,-74.05097653528063
Astor Place,342,06,Astor Place,40.71929424516937,-74.07113886669298
Glenwood Ave,335,07,Glenwood Ave,40.72752725314292,-74.07095047598266
Essex Light Rail,333,2,Essex Light Rail,40.71282542409364,-74.03647353437131
Hilltop,332,01,Hilltop,40.73112283846063,-74.05748458083639
nan,326,08,nan,40.73,-74.07000000000001
Riverview Park,325,2,Riverview Park,40.744333133203085,-74.04389795081839
Glenwood Ave,322,08,Glenwood Ave,40.72752725314292,-74.07095047598266
Pershing Field,319,2,Pershing Field,40.742582469861766,-74.05176521119354
5 Corners Library,314,07,5 Corners Library,40.73488147223507,-74.05951305622865
Riverview Park,313,01,Riverview Park,40.744333133203085,-74.04389795081839
Essex Light Rail,311,01,Essex Light Rail,40.71282542409364,-74.03647353437131
Oakland Ave,306,01,Oakland Ave,40.73742057858394,-74.05223238649396
5 Corners Library,301,08,5 Corners Library,40.73488147223507,-74.05951305622865
Oakland Ave,290,12,Oakland Ave,40.73742057858394,-74.05223238649396
5 Corners Library,289,06,5 Corners Library,40.73488147223507,-74.05951305622865
Mama Johnson Field - 4 St & Jackson St,288,2,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Hilltop,287,2,Hilltop,40.73112283846063,-74.05748458083639
